id,scope,viewport,action,expected,status,actualResult,evidence
MOB-R1,R1,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R2,R2,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R3,R3,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R4,R4,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R5,R5,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R6,R6,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
MOB-R7,R7,400x528;390x844,Mở mới phòng,Cảnh và CTA không bị che; sheet đóng R1–R6,NOT_RUN,,
R7-me-linh-H0,me-linh,mobile+desktop,Đi tới H0,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-me-linh-H1,me-linh,mobile+desktop,Đi tới H1,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-me-linh-H2,me-linh,mobile+desktop,Đi tới H2,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-me-linh-H3,me-linh,mobile+desktop,Đi tới H3,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-me-linh-H4,me-linh,mobile+desktop,Đi tới H4,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-me-linh-H5,me-linh,mobile+desktop,Đi tới H5,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H0,co-an,mobile+desktop,Đi tới H0,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H1,co-an,mobile+desktop,Đi tới H1,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H2,co-an,mobile+desktop,Đi tới H2,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H3,co-an,mobile+desktop,Đi tới H3,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H4,co-an,mobile+desktop,Đi tới H4,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-co-an-H5,co-an,mobile+desktop,Đi tới H5,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H0,be-may,mobile+desktop,Đi tới H0,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H1,be-may,mobile+desktop,Đi tới H1,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H2,be-may,mobile+desktop,Đi tới H2,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H3,be-may,mobile+desktop,Đi tới H3,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H4,be-may,mobile+desktop,Đi tới H4,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
R7-be-may-H5,be-may,mobile+desktop,Đi tới H5,Đúng ảnh/POV; nhìn thấy túi/tay liên quan; không UI che,NOT_RUN,,
CMS01,all,app,Lưu ảnh nháp,Khách không thấy nháp,NOT_RUN,,
CMS02,all,app,Publish rồi rollback,Khách thấy đúng revision,NOT_RUN,,
ERR01,all,app,Làm H5 tải lỗi,Không báo nhận thành công,NOT_RUN,,
STATE01,all,app,Double click/replay/đổi vai,Không bỏ bước hoặc sai chủ túi,NOT_RUN,,
MAP01,all,app,Mở map mobile,Nhãn không đè; CTA truy cập được,NOT_RUN,,
A11Y01,all,app,Chữ 200%,Không cắt nội dung/CTA,NOT_RUN,,
